,title,director,cast,listed_in,description,lower
4566,Zindagi Gulzar Hai,,"Sanam Saeed, Fawad Khan, Ayesha Omer, Mehreen Raheel, Sheheryar Munawar, Samina Peerzada, Waseem Abbas, Javed Sheikh, Hina Khawaja Bayat","International TV Shows, Romantic TV Shows, TV Dramas",strongwil middleclass kashaf carefre wealthi zaroon meet colleg love root grow,zindagi gulzar hai
4567,Zoom,Pedro Morelli,"Gael García Bernal, Alison Pill, Mariana Ximenes, Jason Priestley, Tyler Labine, Don McKellar, Claudia Ohana, Michael Eklund, Jennifer Irwin","Comedies, Dramas, Independent Movies",comic book artist emma draw ideal man edward director film novelist name michel who write book emma,zoom
4568,The Monster of Mangatiti,John Banas,"Greta Gregory, Mark Mitchinson, Bruce Hopkins, John Sumner, Flynn Allen, Harriet Beattie, Carolyn Dando, Laurie Dee, Ruth Dudding",Dramas,real event dramat unthink stori resili teenag held prison season predat remot farm 1980,the monster of mangatiti
4569,This Was Tomorrow,Wim Bonte,,"Documentaries, International Movies, Music & Musicals",tomorrowland music festiv mark 10th anniversari belgium brazil divers excit annual event,this was tomorrow
4570,Hymn of Death,,"Lee Jong-suk, Shin Hye-sun, Kim Myeong-su, Park Seon-im, Kim Won-hae, Hwang Yeong-hee, Lee Ji-hoon, Go Bo-gyeol, Shin Jae-ha","International TV Shows, Korean TV Shows, Romantic TV Shows",japanes coloni period marri playwright kim ujin fall love soprano yun simdeok korea ’ s notabl new women,hymn of death
4571,Inside the Real Narcos,,Jason Fox,"British TV Shows, Crime TV Shows, Docuseries",expos rare seen perspect drug war exspeci forc commando jason fox interview danger traffick cartel member,inside the real narcos
4572,ROMA,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira","Dramas, Independent Movies, International Movies",director alfonso cuarón deliv vivid emot portrait domest life social hierarchi set mexico polit turmoil 1970,roma
4573,Samson,"Bruce MacDonald, Gabriel Sabloff","Taylor James, Billy Zane, Lindsay Wagner, Caitlin Leahy, Rutger Hauer, Jackson Rathbone, Brandon Auret, Frances Sholto-Douglas, Greg Kriek","Action & Adventure, Dramas, Faith & Spirituality",biblic stori samson swordandsand epic israelit warrior godgiven brawn undon beauti temptress,samson
4574,Sunderland 'Til I Die,,,"British TV Shows, Docuseries, International TV Shows",docuseri follow english soccer club sunderland 201718 season tri bounc releg premier leagu,sunderland 'til i die
4575,The Fix,,"Jimmy Carr, D.L. Hughley, Katherine Ryan",TV Comedies,comedian jimmi carr dl hughley katherin ryan tackl world woe help rotat crew funni guest actual expert,the fix
4576,The Innocent Man,,John Grisham,"Crime TV Shows, Docuseries",documentari adapt john grisham nonfict book rais troubl question murder case ada oklahoma 1980,the innocent man
4577,Tidelands,,"Charlotte Best, Elsa Pataky, Marco Pigossi, Aaron Jakubenko, Mattias Inwood, Dalip Sondhi, Alex Dimitriades, Richard Davies, Caroline Brazier, Peter O'Brien, Madeleine Madden","Crime TV Shows, International TV Shows, TV Dramas",excon cal mcteer return hometown orphelin bay blow lid generationslong conspiraci silenc murder drug siren,tidelands
4578,At All Costs,Mike Nicoll,"Parker Jackson Cartwright, Gabe York","Documentaries, Sports Movies",reveal documentari explor highstak world amateur athlet union basketbal profession youth sport america,at all costs
4579,6 Underground,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Corey Hawkins, Dave Franco, Adria Arjona, Manuel Garcia-Rulfo, Ben Hardy, Lior Raz, Payman Maadi, Yuri Kolokolnikov, Kim Kold","Action & Adventure, Dramas",fake death tech billionair recruit team intern oper bold bloodi mission brutal dictat,6 underground
4580,A Trip to Jamaica,Robert O. Peters,"Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies, Paul Campbell, Chris Attoh, Rebecca Silvera, Eric Roberts, Joe Diaz, Alex Moore","Comedies, International Movies",newli engag coupl romant vacat jamaica turn mischiev adventur test union wild unexpect way,a trip to jamaica
4581,My Wife and I,Bunmi Ajakaiye,"Ramsey Nouah, Omoni Oboli, Dorcas Shola Fapson, Sambasa Nzeribe, Jemima Osunde, Dozie Onyiriuka, Rotimi Adelagan, Seyilaw","Comedies, International Movies, Romantic Movies",coupl lean divorc meet pastor counsel unexpect develop shake marriag,my wife and i
4582,Okafor's Law,Omoni Oboli,,"Comedies, International Movies, Romantic Movies",unapologet lothario set seduc exflam – get unexpect educ love way,okafor's law
4583,Seven and a half dates,Biodun Stephen,"Mercy Johnson, Jim Iyke, Toyin Abraham, Sola Sobowale, Akin Lewis, Bayray McNwizu, Roxy Antak, Frank Donga, Ken Erics, Fathia Balogun","Dramas, International Movies, Romantic Movies",engross career young woman reluctantli yield father plan set 10 date suitabl husband,seven and a half dates
4584,Silent Hill: Revelation,M.J. Bassett,"Deborah Kara Unger, Adelaide Clemens, Sean Bean, Malcolm McDowell, Carrie-Anne Moss, Radha Mitchell, Martin Donovan, Kit Harington",Horror Movies,haunt nightmar father disappear heather goe hunt – discov disturb truth ident,silent hill: revelation
4585,The 9th Precinct,Ding-Lin Wang,"Roy Chiu, Chia-Chia Peng, Wen Chen-ling, Eugenie Liu, Yeo Yann Yann","International Movies, Thrillers",idealist cop join underground polic unit battl ghoulish forc threaten balanc human supernatur realm,the 9th precinct
4586,Zero Hour,Robert O. Peters,"Richard Mofe-Damijo, Alex Ekubo, Ali Nuhu, Rahama Sadau, Eucharia Anunobi, Ene Oloja, Halima Yusuf, Ayo Ayoola Ayolola","International Movies, Thrillers",father pass heir retail empir return famili busi face controversi involv launder murder,zero hour
4587,Tokyo Trial,,"Marcel Hensema, Paul Freeman, Irrfan Khan, Stacy Keach, Michael Ironside, Stephen McHattie, Shinya Tsukamoto","International TV Shows, TV Dramas",wake world war ii 11 alli judg task weigh fate japanes war crimin tens intern trial,tokyo trial
4588,Jack Whitehall: Christmas with My Father,Richard van't Riet,"Jack Whitehall, Michael Whitehall, Hugh Bonneville, Graham Norton, Layton Williams, Andrew Lloyd Webber, Tim Rice, Tan France, Antoni Porowski, Jonathan Van Ness",Stand-Up Comedy,jack whitehal invit notori stuffi father onstag london west end christma comedi extravaganza complet celebr guest,jack whitehall: christmas with my father
4589,Back Street Girls -GOKUDOLS-,,"Daisuke Ono, Satoshi Hino, Kazuyuki Okitsu, Yuka Nukui, Kaori Maeda, Hikaru Akao, Junichi Suwabe, Keiji Fujiwara","Anime Series, International TV Shows",pay epic blunder yakuza brother forc alter bodi form girl group break underground jpop idol scene,back street girls -gokudols-
4590,"Out of Many, One","John Hoffman, Nanfu Wang",,Documentaries,documentari short divers group men women discuss person journey prepar citizenship test,"out of many, one"
4591,Judd Apatow: The Return,Marcus Raboy,Judd Apatow,Stand-Up Comedy,judd apatow return standup comedi 25 year rif live women amus moment career,judd apatow: the return
4592,The Trip to Spain,Michael Winterbottom,"Steve Coogan, Rob Brydon, Marta Barrio, Claire Keelan, Margo Stilley",Comedies,comedian steve coogan rob brydon gorg local delicaci celebr impress reunit hilari road trip spain,the trip to spain
4593,The Unknown Girl,"Jean-Pierre Dardenne, Luc Dardenne","Adèle Haenel, Olivier Bonnaud, Jérémie Renier, Louka Minnella, Christelle Cornil, Olivier Gourmet, Fabrizio Rongione, Thomas Doret","Dramas, International Movies",guiltridden doctor belgian town tri uncov ident woman die turn away offic,the unknown girl
4594,Viceroy's House,Gurinder Chadha,"Hugh Bonneville, Gillian Anderson, Manish Dayal, Huma Qureshi, Michael Gambon, David Hayman, Simon Callow, Denzil Smith, Neeraj Kabi, Tanveer Ghani, Om Puri, Lily Travers",Dramas,viceroy lord mountbatten arriv delhi overse transfer power britain india 1947 war loom religi faction,viceroy's house
4595,Blackfish,Gabriela Cowperthwaite,,Documentaries,fascin documentari examin life perform killer whale tilikum caus death peopl captiv,blackfish
4596,Ricardo O'Farrill: Abrazo navideño,"Raúl Campos, Jan Suter","Ricardo O'Farrill, Carlos Ballarta, Sofía Niño de Rivera, Chumel Torres, Marissa ""Chabe"" Lozano",Stand-Up Comedy,express ricardo ofarril use astut comed sensibl teas christma tradit santa clau escap unscath,ricardo o'farrill: abrazo navideño
4597,Get Santa,Christopher Smith,"Jodie Whittaker, Warwick Davis, Jim Broadbent, Stephen Graham, Nonso Anozie, Rafe Spall, Ewen Bremner, Matt King","Children & Family Movies, Comedies",santa get arrest trespass crash sleigh fatherson team spring jail save christma,get santa
4598,The Short Game,Josh Greenbaum,"Sky Sudberry, Allan Kournikova, Jed Dy, Zamokuhle Nxasana, Alexa Pano, Amari Avery, Augustin Valery, Kuang Yang, Jack Nicklaus, Gary Player","Children & Family Movies, Documentaries, Sports Movies",fierc competit athlet determin champion world toughest golf cours theyr grade school,the short game
4599,The Sky Is Pink,Shonali Bose,"Rohit Saraf, Zaira Wasim, Farhan Akhtar, Priyanka Chopra","Dramas, International Movies",succumb termin ill teenag posthum narrat parent ’ tenaci relationship drama base true stori,the sky is pink
4600,Standoff,Adam Alleca,"Thomas Jane, Laurence Fishburne, Joanna Douglas, John Tench, Ted Atherton, Jim Watson, Ella Ballentine",Action & Adventure,wit assassin slaughter young girl hole farmhous suicid vet use wit gut fend killer,standoff
4601,Vir Das: Losing It,Marcus Raboy,Vir Das,Stand-Up Comedy,world got lot problem vir da lot answer discuss travel religion childhood standup special,vir das: losing it
4602,Dawai Asmara,,"Hanna Aqiela, Tengku Putri Najuwa, Emelie Hanif, Zoey Rahman, Faiez Affandi, Wanny Mustahfah, Sherie Merlis, Mahmud Alibashah, Zalfa Zin, Kamal Ibrahim, Amanda Hariz, Alesha Hariz, Fathimah Az Zahra, Elya Miera Ismail","International TV Shows, TV Dramas",follow lifechang trauma girl differ background fight discov ident biolog parent,dawai asmara
4603,Red Christmas,Craig Anderson,"Dee Wallace, Geoff Morrell, Sarah Bishop, Janis McGavin, David Collins, Bjorn Stewart, Gerard O'Dwyer, Deelia Meriel, Sam Campbell, Anthony Jensen, Robert Anderson",Horror Movies,famili christma gather isol australian estat turn holiday hell mysteri stranger turn door,red christmas
4604,The Hatred,Michael G. Kehoe,"Sarah Davenport, Andrew Divoff, Gabrielle Bourne, Bayley Corman, Alisha Wainwright, Nina Siemaszko, Shae Smolik, David Naughton, Amanda Wyss, Darby Walker",Horror Movies,young women head countri hous idyl weekend retreat lie store far dreami getaway imagin,the hatred
4605,Asperger's Are Us,Alex Lehmann,"Noah Britton, Ethan Finlan, Jack Hanke, New Michael Ingemi",Documentaries,comedi troup friend autism spectrum prepar final member separ way,asperger's are us
4606,The Ridiculous 6,Frank Coraci,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner, Rob Schneider, Luke Wilson, Will Forte, Steve Zahn, Harvey Keitel, Nick Nolte, Jon Lovitz, Whitney Cummings, David Spade, Danny Trejo, Nick Swardson, Blake Shelton, Vanilla Ice, Julia Jones, Saginaw Grant, Lavell Crawford, Steve Buscemi","Action & Adventure, Comedies",outlaw dad kidnap tommi “ white knife ” stockburn set west rescu mission brother knew,the ridiculous 6
4607,Good and Prosperous,Sameh Abdulaziz,"Ali Rabee, Mohamed Abdel-Rahman, Bayoumi Fouad, Karim Afifi, Dalal Abdel Aziz, Mai Selim, Tara Emad, Mohammed Tharwat, Haifa Wehbe, Ahmed Adel","Comedies, International Movies",jobless brother search aimlessli career worthi hardtopleas mother ’ s prais cluelessli tackl countless gig,good and prosperous
4608,Michelle Wolf: Joke Show,Lance Bangs,Michelle Wolf,Stand-Up Comedy,comedian michel wolf take outrag cultur massag childbirth femin like otter standup special new york citi,michelle wolf: joke show
4609,Gehenna: Where Death Lives,Hiroshi Katagiri,"Eva Swan, Simon Phillips, Justin Gordon, Doug Jones, Lance Henriksen, Matthew Edward Hegstrom, Patrick Gorman, Sean Sprawling, Masashi Odate","Horror Movies, Thrillers",develop look locat build resort saipan stumbl subterranean bunker wwii evil forc lie wait,gehenna: where death lives
4610,Goldstone,Ivan Sen,"Aaron Pedersen, Alex Russell, Jacki Weaver, Cheng Pei-pei, David Gulpilil, Michelle Lim Davidson, David Wenham, Tommy Lewis, Tommy Caldwell",Thrillers,australian outback indigen cop miss person case unearth traffick ring run afoul politicalindustri interest,goldstone
4611,Susanne Bartsch: On Top,"Anthony Caronna, Alexander Smith",Susanne Bartsch,"Documentaries, LGBTQ Movies",largerthanlif persona documentari reveal woman fame event planner legaci cultur icon activist,susanne bartsch: on top
4612,Trotsky,,"Konstantin Khabenskiy, Olga Sutulova, Max Matveev, Evgeniy Stychkin, Orkhan Abulov","International TV Shows, TV Dramas",complex histor figur leon trotski come life epic biographi depict tumultu life russian revolutionari,trotsky
4613,Nobel,,"Aksel Hennie, Tuva Novotny, Anders Danielsen Lie, Mads Sjøgård Pettersen, Danica Curcic, Christian Rubeck, Odd Magnus Williamson, Mattis Herman Nyquist, Hallvard Holmen, Atheer Adel, Mohammad-Ali Behboudi, Ayesha Wolasmal, Ramin Yazdani, Rolf Kristian Larsen, Dennis Storhøi","International TV Shows, TV Dramas, TV Thrillers",seri incid afghanistan set complic polit person event motion return norwegian special forc offic,nobel
4614,Sons of Ben,Jeffrey C. Bell,,"Documentaries, Sports Movies",passion understat meet folk want major leagu soccer club philadelphia badli fan exist,sons of ben
4615,A Cinderella Story: Christmas Wish,Michelle Johnston,"Laura Marano, Gregg Sulkin, Isabella Gomez, Johannah Newmarch, Lillian Doucet-Roche, Chanelle Peloso, Barclay Hope, Garfield Wilson","Children & Family Movies, Comedies, Music & Musicals",despit vain stepmoth mean stepsist aspir singer work elf christma tree lot find holiday miracl,a cinderella story: christmas wish
4616,A Night at the Roxbury,John Fortenberry,"Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman","Comedies, Cult Movies",runin richard grieco dimwit doug steve gain entri swanki nightclub comedi base saturday night live sketch,a night at the roxbury
4617,Austin Powers in Goldmember,Jay Roach,"Mike Myers, Beyoncé Knowles-Carter, Seth Green, Michael York, Robert Wagner, Mindy Sterling, Verne Troyer, Michael Caine, Fred Savage","Action & Adventure, Comedies",world shagadel spi continu fight diabol dr evil who team new foe 1970 villain goldmemb,austin powers in goldmember
4618,Austin Powers: International Man of Mystery,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell",Comedies,swingin fashion photograph day groovi british secret agent night superspi austin power foil sinist scheme dr evil,austin powers: international man of mystery
4619,Austin Powers: The Spy Who Shagged Me,Jay Roach,"Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Will Ferrell","Action & Adventure, Comedies, Sci-Fi & Fantasy",diabol geniu dr evil travel time steal superspi austin powerss mojo austin return swingin 60,austin powers: the spy who shagged me
4620,Baby Dolls,Vijay Kumar Arora,"Nirmal Rishi, Sonam Bajwa, Sukhwinder Chahal, Tania, Gurnam Bhullar","Comedies, International Movies, Romantic Movies",sister travel canada punjab visit matern famili discov opportun mend broken bond grandmoth,baby dolls
4621,Cut Bank,Matt Shakman,"Liam Hemsworth, Teresa Palmer, Billy Bob Thornton, Bruce Dern, John Malkovich, Michael Stuhlbarg, Oliver Platt","Dramas, Thrillers",smalltown dreamer sure he land gold accident film murder suck violent tale greed decept,cut bank
4622,Dead Kids,Mikhail Red,"Khalil Ramos, Vance Larena, Kelvin Miranda, Jan Silverio, Markus Paterson, Gabby Padilla, Sue Ramirez","Dramas, International Movies, Thrillers",social awkward teen bond group misfit plot abduct school arrog rich kid – kidnap scheme turn deadli,dead kids
4623,High End Yaariyan,Pankaj Batra,"Ninja, Ranjit Bawa, Jassi Gill, Musskan Sethi, Navneet Kaur Dhillon, Neet Mahal, Aarushi Sharma","Comedies, International Movies, Romantic Movies",romant pursuit friendship trio young men navig complex relationship share london apart,high end yaariyan
4624,Hustle & Flow,Craig Brewer,"Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, DJ Qualls, Ludacris, Paula Jai Parker, Elise Neal, Isaac Hayes","Dramas, Independent Movies, Music & Musicals",pimp aspir grandeur want rapper discov fame isnt crack indi drama,hustle & flow
4625,Iron Fists and Kung-Fu Kicks,Serge Ou,,"Documentaries, International Movies",documentari examin influenc hong kong martial art cinema filmmak shaw brother modernday hollywood blockbust,iron fists and kung-fu kicks
